t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.28,0.030175376413258,-0.04459852205547986,0.0,0.39022444842856907,-0.5563629054489989,0.0,3.416814085750345,-4.485531469827162,0.0,12.984374570644722,-10.679281925925922,0.0,-79.0701445816187,184.909697942387,0.0,0.0
0.29,0.034250592045751316,-0.05038812946368634,0.0,0.4250282938029269,-0.6017208398351246,0.0,3.5425702556905665,-4.582868997594265,0.0,12.153590047271528,-8.76756640670011,0.0,-87.03122505572702,197.30304287551454,0.0,0.0
0.3,0.038679992187500005,-0.056635859375,0.0,0.4610468489583334,-0.6479545312500001,0.0,3.659626215277779,-4.660482986111112,0.0,11.244914930555561,-6.735927083333328,0.0,-94.64284722222226,208.8845833333335,0.0,0.0
0.31,0.043475276092346984,-0.0633494635386347,0.0,0.49818927685864983,-0.6948608858805208,0.0,3.76722107309673,-4.7172157751037815,0.0,10.262006284411449,-4.592778263695979,0.0,-101.87251491340882,219.59506669238706,0.0,0.0
0.32,0.048647197222253705,-0.07053460630973281,0.0,0.5363573198228077,-0.7422256639016738,0.0,3.8646321331797004,-4.75199681000823,0.0,9.208846134430727,-2.347126781892985,0.0,-108.68773196159125,229.37524032921837,0.0,0.0
0.33,0.054205491004783626,-0.07819475764328598,0.0,0.5754456977273701,-0.7898243801599482,0.0,3.951178144623266,-4.76384856723264,0.0,8.089741467881945,-0.00857199826388154,0.0,-115.05600219907413,238.16585162037055,0.0,0.0
0.34,0.0601588067350919,-0.08633109539115312,0.0,0.6153425387052563,-0.8374232641093693,0.0,4.026222551205077,-4.7518924794197535,0.0,6.9093242337105565,2.4126942006173007,0.0,-120.94482945816193,245.90764794238706,0.0,0.0
0.35000000000000003,0.06651464394738334,-0.09494241749470198,0.0,0.6559298423406381,-0.8847802790001558,0.0,4.089176741000623,-4.715354860709234,0.0,5.672551342538999,4.90588740194189,0.0,-126.32171757115921,252.54137667181092,0.0,0.0
0.36,0.07327929358080001,-0.10402506466560002,0.0,0.6970839753600002,-0.9316462003200002,0.0,4.139503296000003,-4.653572832,0.0,4.38470466666666,7.459630666666673,0.0,-131.15417037037045,258.0077851851854,0.0,0.0
0.37,0.08045778426470064,-0.11357285414728192,0.0,0.7386761998193725,-0.9777657534879747,0.0,4.176719241724688,-4.566000246212576,0.0,3.051391040069869,10.06195452951391,0.0,-135.4096916881002,262.24762085905377,0.0,0.0
